Exercise ,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Exercise Classification
Miniband Side Lying Hip Abduction,https://youtu.be/bDvFd4EZt8M,,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,,,Side Lying,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Isolation,Unilateral,
Miniband Bench Seated Hip Abduction,https://youtu.be/jH9lRIYNOew,,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,Bench (Flat),1,Seated,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Abduction,,,Transverse Plane,,,Lower Body,Other,Isolation,Bilateral,
Miniband Glute Bridge With Hip Abduction,https://youtu.be/oS3cYfl6Bns,,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,,Miniband,1,,,Bridge,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Extension,Hip Abduction,,Sagittal Plane,Transverse Plane,,Lower Body,Other,Compound,Bilateral,
Stability Ball Hip Thrust,https://youtu.be/awrONjSvtNU,,Beginner,Glutes,Gluteus Maximus,,,Stability Ball,1,,,Bridge,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Bilateral,
Stability Ball Dumbbell Hip Thrust,https://youtu.be/x4lc8HocO1c,,Beginner,Glutes,Gluteus Maximus,,,Stability Ball,1,Dumbbell,1,Bridge,Double Arm,Continuous,Neutral,Hip Crease,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Bilateral,
Bodyweight Frog Pump,https://youtu.be/7IVoH7E4rWo,https://youtu.be/jbJBXErKD-U,Beginner,Glutes,Gluteus Maximus,,,Bodyweight,0,,,Bridge,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Bilateral,
Dumbbell Frog Pump,https://youtu.be/N6t2Fv0SKGc,https://youtu.be/MQ62r2V7Lw8,Beginner,Glutes,Gluteus Maximus,,,Dumbbell,1,,,Bridge,Double Arm,Continuous,Neutral,Hip Crease,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Bilateral,
Cable Glute Kickback,https://youtu.be/_xy2wK3wke8,https://youtu.be/dJa_Nf4zdik,Novice,Glutes,Gluteus Maximus,,,Cable,1,,,Standing,No Arms,Continuous,Hand Assisted,Other,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Isolation,Unilateral,Bodybuilding
Foot Elevated Single Leg Glute Bridge,https://youtu.be/I7Zwyzr8COk,https://youtu.be/-sDqY1KTpPE,Novice,Glutes,Gluteus Maximus,,,Bodyweight,0,,,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Unilateral,
Suspension Glute Bridge,https://youtu.be/tRzSvonZaaw,https://youtu.be/KlgaxSAfaDA,Novice,Glutes,Gluteus Maximus,,,Suspension Trainer,1,,,Bridge,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Bilateral,
Miniband Thigh Lateral Walk,https://youtu.be/34fVGXqWWs8,https://youtu.be/7C8mL0v976o,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,,,Walking,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,
Miniband Shin Lateral Walk,https://youtu.be/N4tkpDMlqCQ,https://youtu.be/mKCe63bpPxA,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,,,Walking,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,
Miniband Feet Lateral Walk,https://youtu.be/GxqfnFHLH6c,https://youtu.be/5wUk8wQNUT8,Intermediate,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,,,Walking,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,
Miniband Standing Glute Kickback,https://youtu.be/mj8FITvNzFc,,Novice,Glutes,Gluteus Maximus,,,Miniband,1,,,Standing,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Isolation,Unilateral,
Barbell Hip Thrust,https://youtu.be/5S8SApGU_Lk,https://youtu.be/LM8XHLYJoYs,Novice,Glutes,Gluteus Maximus,,,Barbell,1,,,Bridge,Double Arm,Continuous,Pronated,Hip Crease,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Bilateral,Bodybuilding
Barbell Single Leg Hip Thrust,https://youtu.be/eqNJyLlSm34,,Intermediate,Glutes,Gluteus Maximus,,,Barbell,1,,,Single Leg Bridge,Double Arm,Continuous,Pronated,Hip Crease,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Unilateral,Bodybuilding
Stability Ball Single Leg Glute Bridge,https://youtu.be/LSUPiOJOA6M,,Intermediate,Glutes,Gluteus Maximus,,,Stability Ball,1,,,Bridge,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Unilateral,
Miniband Standing Hip Abduction,https://youtu.be/dZNkjqKNUUs,,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,,,Standing,No Arms,Continuous,Hand Assisted,No Load,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Isolation,Bilateral,
Miniband 3-Way Cha Cha,https://youtu.be/3SOcMYQWbDU,,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,,,Standing,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Abduction,Hip Extension,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,
Barbell Standing Calf Raise,https://youtu.be/-zJsdaS13fk,https://youtu.be/3UWi44yN-wM,Intermediate,Calves,Gastrocnemius,Soleus,,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Ankle Plantar Flexion,,,Sagittal Plane,,,Lower Body,Push,Isolation,Bilateral,Bodybuilding
Cable Hip Abduction,https://youtu.be/pvnR8CDb4BU,,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Cable,1,,,Standing,No Arms,Continuous,Hand Assisted,Other,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Isolation,Unilateral,
Miniband Wall Sit Hip Abduction,https://youtu.be/w5nYnnT1E9s,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Medius,,Miniband,1,,,Wall Sit,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Compound,Bilateral,
Barbell Overhead Adductor Slide,,,Intermediate,Adductors,Adductor Magnus,,,Sliders,1,Barbell,1,Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,
Stability Ball T's Y's I's ,https://youtu.be/1jP1PR9Gls0?si=esOirS5dWd5oUqG0,https://youtu.be/jihh8FFWoMk?si=qyxtXrUK9hFRpAAE,Beginner,Shoulders,Posterior Deltoids,,,Stability Ball,1,,,Prone,Double Arm,Continuous,No Grip,No Load,Single Exercise,Horizontal Pull,,,Frontal Plane,,,Upper Body,Pull,Isolation,Bilateral,Postural
Resistance Band Standing Reverse Fly,https://youtu.be/C2wsrjVHvuA,https://youtu.be/cyihFNmsq-A,Beginner,Shoulders,Posterior Deltoids,,,Resistance Band,1,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Horizontal Pull,,,Frontal Plane,,,Upper Body,Pull,Isolation,Bilateral,
Resistance Band Lateral Raise,https://youtu.be/QqyKKd3dXGk,,Beginner,Shoulders,Medial Deltoids,,,Resistance Band,1,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Double Dumbbell Lateral Raise,https://youtu.be/pOmbQuGeHf8,https://youtu.be/3VcKaXpzqRo,Beginner,Shoulders,Medial Deltoids,,,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Single Arm Resistance Band Standing Shoulder External Rotation,https://youtu.be/cFyP6e4XeGo,,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Resistance Band,1,,,Standing,Single Arm,Continuous,Neutral,Other,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Unilateral,
Double Dumbbell Seated Lateral Raise,https://youtu.be/3zohLHTjFH0,,Beginner,Shoulders,Medial Deltoids,,,Dumbbell,2,,,Seated,Double Arm,Continuous,Neutral,Other,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Pike Push Up,https://youtu.be/QIZ6RXq72ZI,https://youtu.be/2avz4xI25vQ,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,0,,,Inverted,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Single Arm Dumbbell Side Lying Shoulder External Rotation,https://youtu.be/_qPQKid-LRs,https://youtu.be/UmVD6TKo9CA,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,1,,,Side Lying,Single Arm,Continuous,Neutral,Other,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Unilateral,
Single Arm Dumbbell Seated Shoulder External Rotation,https://youtu.be/XKCfeJp4Qo0,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,1,,,Seated,Single Arm,Continuous,Pronated,Other,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Unilateral,
Miniband Standing Shoulder External Rotation,https://youtu.be/4cpQr1VbcEU,https://youtu.be/VpiQKz-PUxU,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Miniband,1,,,Standing,Double Arm,Continuous,Neutral,No Load,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Bilateral,
Double Dumbbell Seated Cuban Rotation,https://youtu.be/oYGHjG0jZuA,https://youtu.be/Ia8KK_P8r6Y,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,2,,,Seated,Double Arm,Continuous,Pronated,Other,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Bilateral,
Double Dumbbell Standing Cuban Rotation,https://youtu.be/_Cfrbn8dxH4,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,2,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Bilateral,
Single Arm Cable Half Kneeling Shoulder External Rotation 90 Degrees,https://youtu.be/eM0V87yceog,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable,1,,,Half Kneeling,Single Arm,Continuous,Pronated,Other,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Unilateral,
Single Arm Dumbbell Side Lying Shoulder Internal Rotation,https://youtu.be/m-41eHptImU,,Beginner,Shoulders,Subscapularis ,Teres Major,,Dumbbell,1,,,Side Lying,Single Arm,Continuous,Neutral,Other,Single Exercise,Shoulder Internal Rotation,,,Transverse Plane,,,Upper Body,,Isolation,Unilateral,
Parallette Feet Elevated Pike Push Up ,https://youtu.be/EqXFl_YxF8k,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars,2,,,Inverted,Double Arm,Continuous,Neutral,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Barbell Thruster,https://youtu.be/aea5BGj9a8Y,https://youtu.be/Zvt5-mugUco,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,
Parallette Wall Supported Handstand Push Up,,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars,2,,,Inverted,Double Arm,Continuous,Neutral,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Barbell Sots Press,https://youtu.be/eJ9MLnNV6FY,https://youtu.be/TUTFBXqEgBs,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,,,,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,
Single Arm Dumbbell V Sit Overhead Press ,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis ,Dumbbell,1,,,V Sit Seated,Single Arm,Continuous,Neutral,Overhead,Combo Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Z Press,https://youtu.be/k_kXBEjURUA,https://youtu.be/wce-elEhBHw,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,2,,,Seated Floor,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Dumbbell Z Press,https://youtu.be/Ib-8BOyAgTQ,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,1,,,Seated Floor,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Stability Ball Dumbbell Arnold Press,https://youtu.be/4Hwcp9HP9D4,,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Stability Ball,1,Dumbbell,2,Seated,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,
Single Arm Dumbbell Half Kneeling Overhead Press,https://youtu.be/4DUIY95jX6Y,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis ,Dumbbell,1,,,Half Kneeling,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Cable Lateral Raise,https://youtu.be/FGU9j1P5L-w,,Novice,Shoulders,Medial Deltoids,,,Cable,1,,,Standing,Single Arm,Continuous,Pronated,Other,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Push,Isolation,Unilateral,Bodybuilding
Double Dumbbell Thruster,https://youtu.be/u3wKkZjE8QM,https://youtu.be/cPzfRo_jti0,Novice,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,
Single Arm Dumbbell Thruster,https://youtu.be/03aX4h5-EkA,https://youtu.be/o1wfP7nTCqg,Novice,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Dumbbell,1,,,Standing,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,
Parallette Handstand Push Up,https://youtu.be/3FYYo6lP-dw,,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars,2,,,Inverted,Double Arm,Continuous,Neutral,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Double Dumbbell Seated Overhead Press,https://youtu.be/3GFZpOYu0pQ,,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,2,,,Seated,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Double Dumbbell Overhead Press,https://youtu.be/M2rwvNhTOu0,,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Dumbbell Overhead Carry,https://youtu.be/Pvs-dT7KPh4,,Intermediate,Shoulders,Anterior Deltoids,Obliques,,Dumbbell,1,,,Walking,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,
Freestanding Handstand Push Up,https://youtu.be/aAErmRDDJKY,https://youtu.be/3I_vcrmE0a0,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,0,,,Inverted,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Barbell Shrug,https://youtu.be/pqYr_lb04O4,,Novice,Trapezius,Upper Trapezius,,,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Scapular Elevation,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,
Double Dumbbell Shrug,https://youtu.be/cJRVVxmytaM,,Beginner,Trapezius,Upper Trapezius,,,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Scapular Elevation,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,
Cable Standing Face Pull,https://youtu.be/CruifQcSALU,https://youtu.be/1dzR5IW0cL8,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable,1,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Shoulder External Rotation,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,
Cable Seated Face Pull,https://youtu.be/4UhV4cCkugM,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable,1,,,Seated,Double Arm,Continuous,Neutral,Other,Single Exercise,Shoulder External Rotation,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,
Double Dumbbell Standing Scaption,https://youtu.be/XOAIGRH90RY,,Beginner,Shoulders,Serratus Anterior,,,Dumbbell,2,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Shoulder Scapular Plane Elevation,,,,,,Upper Body,,Isolation,Bilateral,
Double Dumbbell Seated Scaption,https://youtu.be/Vn1cULRUhZI,,Beginner,Shoulders,Serratus Anterior,,,Dumbbell,2,,,Seated,Double Arm,Continuous,Neutral,Other,Single Exercise,Shoulder Scapular Plane Elevation,,,,,,Upper Body,,Isolation,Bilateral,
Stability Ball Dumbbell Seated Scaption,https://youtu.be/PKgkMmXAVUs,,Beginner,Shoulders,Serratus Anterior,,,Stability Ball,1,Dumbbell,2,Seated,Double Arm,Continuous,Neutral,Other,Single Exercise,Shoulder Scapular Plane Elevation,,,,,,Upper Body,,Isolation,Bilateral,
Cable Standing Knee Strap Hip External Rotation (90 Degrees),https://youtu.be/1OnBBhiaQjY,,Novice,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Cable,1,,,Standing,No Arms,Continuous,Hand Assisted,Other,Single Exercise,Hip External Rotation,,,Transverse Plane,,,Lower Body,Other,Isolation,Unilateral,
Cable Hip External Rotation,https://youtu.be/ApvO0XTFjRc,,Novice,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Cable,1,,,Standing,No Arms,Continuous,Neutral,Other,Single Exercise,Hip External Rotation,,,Transverse Plane,,,Lower Body,Other,Isolation,Bilateral,
Double Dumbbell Bicep Curl,https://youtu.be/av7-8igSXTs,,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,,,Standing,Double Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Alternating Double Dumbbell Bicep Curl,https://youtu.be/WYezBGuUsdw,https://youtu.be/xxgxVU1NsNc,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,,,Standing,Double Arm,Alternating,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Alternating Double Dumbbell Hammer Curl,https://youtu.be/h46ccQsXDEk,,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,,,Standing,Double Arm,Alternating,Neutral,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Alternating Double Dumbbell Cross Body Hammer Curl,https://youtu.be/On2eca-C00E,https://youtu.be/0jLf1MYSp3c,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,,,Standing,Double Arm,Alternating,Neutral,Other,Single Exercise,Elbow Flexion,,,Frontal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Cable Guillotine Curl,https://youtu.be/KLM1hUecXbY,,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,1,,,Supine,Double Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Cable Supine Bicep Curl,https://youtu.be/hBC7lPyEkVM,,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,1,,,Supine,Double Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Single Arm Dumbbell Incline Bench Preacher Curl,https://youtu.be/DPYrHeVKvQA,,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,1,Bench (Incline),1,Standing,Single Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Dumbbell Crush Grip Bicep Curl,https://youtu.be/at2g_OGyuDE,,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,1,,,Standing,Double Arm,Continuous,Crush Grip,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Double Dumbbell Zottman Curl,https://youtu.be/wrjEdVZrkhk,https://youtu.be/aAuOsw9D7Hc,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,,,Standing,Double Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Dumbbell Waiter Curl,https://youtu.be/DjgrEWlgGaY,,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,1,,,Standing,Double Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
High Cable Straight Bar Bicep Curl,https://youtu.be/xaMJYDzqTZg,,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,1,,,Standing,Double Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Cable Straight Bar Drag Curl,https://youtu.be/s_5mJUQqQpY?si=4zKcXdHvIHVCrn6n,https://youtu.be/3ib-M9kKSvU,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,1,,,Standing,Double Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Double Dumbbell Spider Curl,https://youtu.be/ke2shAeQ0O8,https://youtu.be/nvufDW-MSQk,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,,,Prone,Double Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
